name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Merab Dvalishvili,The Machine,Orthodox,1,83.5,75.35,100.0,64.77,84.58,99.6,33.99,72.03,20,4,0,20,4,0,15,3,2.0,0.0,"['bantamweight', 'catch weight']",bantamweight,1991/01/10,45.37,81.41,56.45,8.33,57.15,83.93,86.52,100.0,35.0,100.0,81.99,40.84,,17.8,79.86,82.97
Aljamain Sterling,Funk Master,Orthodox,2,81.27,77.4,82.08,86.44,76.6,94.99,47.97,52.13,24,5,0,24,5,0,21,4,6.0,0.0,"['bantamweight', 'catch weight', 'featherweight']",bantamweight,1989/07/31,46.43,58.35,72.58,0.0,61.22,86.16,37.17,100.0,29.0,100.0,42.01,73.5,,71.27,100.0,71.43
TJ Dillashaw,,Orthodox,3,77.92,88.29,54.18,70.65,76.7,100.0,73.16,31.21,18,5,0,18,5,0,18,5,3.0,0.0,"['bantamweight', 'ultimate fighter 14 bantamweight tournament', 'flyweight']",bantamweight,1986/02/07,53.57,49.66,54.83,75.0,69.38,75.78,23.1,47.9,30.0,63.37,77.01,57.18,,17.8,100.0,62.34
Petr Yan,No Mercy,Switch,4,72.47,96.23,50.38,58.88,83.56,80.86,51.16,27.77,18,5,0,18,5,0,14,2,9.0,0.0,"['bantamweight', 'interim bantamweight']",bantamweight,1993/02/11,53.8,38.12,75.8,83.33,61.22,70.34,23.85,33.85,49.0,42.29,84.0,8.17,,0.0,100.0,80.96
Renan Barao,The Baron,Orthodox,5,70.35,74.31,47.71,76.91,67.52,88.61,68.99,24.35,34,9,0,34,9,0,17,4,3.0,0.0,"['bantamweight', 'featherweight', 'interim bantamweight', 'catch weight']",bantamweight,1987/01/31,39.79,56.71,46.78,33.33,59.18,72.23,22.07,37.68,41.0,43.27,91.0,32.66,,53.45,100.0,44.44
Ricky Simon,,Orthodox,6,67.6,76.86,83.53,75.51,74.85,36.5,58.14,52.07,22,6,0,22,6,0,15,0,Unranked,9.0,"['bantamweight', 'featherweight']",bantamweight,1992/08/31,30.84,35.98,59.68,41.67,67.35,73.72,74.21,86.85,42.99,69.02,75.0,24.49,,53.45,100.0,60.0
Marlon Vera,Chito,Switch,7,67.31,100.0,36.07,88.39,71.63,51.33,81.4,15.79,23,10,1,23,10,1,24,0,Unranked,3.0,"['bantamweight', 'featherweight', 'catch weight']",bantamweight,1992/12/02,44.94,100.0,67.75,100.0,44.91,60.12,7.55,17.88,39.0,35.62,72.0,89.84,,71.27,100.0,66.67
Urijah Faber,The California Kid,Orthodox,8,67.07,74.12,51.5,94.47,73.87,52.73,74.63,29.05,35,11,0,35,11,0,18,0,13.0,1.0,"['bantamweight', 'interim bantamweight', 'featherweight']",bantamweight,1979/05/14,27.9,36.74,53.22,41.67,73.47,83.03,22.8,58.75,30.0,54.08,58.01,73.5,,100.0,100.0,56.79
Sean O'Malley,Suga,Switch,9,66.7,94.53,19.35,58.31,77.68,85.53,72.09,1.67,18,3,0,18,3,0,14,2,5.0,0.0,['bantamweight'],bantamweight,1994/10/24,66.31,24.19,87.1,50.0,65.31,75.69,4.0,4.48,41.99,2.36,61.01,24.49,,0.0,79.86,69.84
Dominick Cruz,The Dominator,Orthodox,10,66.1,67.69,49.49,58.88,79.29,85.35,33.22,21.3,24,4,0,24,4,0,10,4,2.0,0.0,['bantamweight'],bantamweight,1985/03/09,41.15,57.09,41.94,8.33,85.71,82.86,41.77,56.2,41.99,26.44,83.01,8.17,,0.0,100.0,57.78
Cory Sandhagen,,Switch,11,65.57,84.3,48.73,63.95,76.8,55.97,74.63,32.19,18,5,0,18,5,0,15,0,Unranked,2.0,"['bantamweight', 'catch weight', 'interim bantamweight', 'featherweight']",bantamweight,1992/04/20,53.27,85.26,61.29,33.33,57.15,76.84,18.95,33.22,34.0,55.38,63.0,32.66,,17.8,79.86,71.11
Montel Jackson,Quik,Southpaw,12,65.12,91.59,65.5,65.36,86.99,28.51,54.27,54.23,15,2,0,15,2,0,11,0,Unranked,14.0,['bantamweight'],bantamweight,1992/04/24,33.89,17.71,74.19,91.67,69.38,92.91,47.98,25.55,61.99,50.46,68.01,16.34,,17.8,100.0,83.83
Rani Yahya,,Orthodox,13,64.74,59.81,81.24,100.0,68.18,29.87,60.83,58.1,28,12,1,28,12,1,21,0,Unranked,13.0,"['bantamweight', 'featherweight']",bantamweight,1984/09/12,18.0,8.13,49.99,0.0,44.91,87.24,40.44,84.3,30.0,100.0,28.99,100.0,,100.0,100.0,62.97
Umar Nurmagomedov,,Orthodox,14,64.2,79.96,52.77,69.05,88.11,40.01,65.12,55.46,18,1,0,18,1,0,7,0,Unranked,2.0,"['bantamweight', 'featherweight']",bantamweight,1996/01/03,46.11,34.65,80.65,8.33,65.31,86.65,48.28,33.85,39.0,39.1,78.0,8.17,,35.62,100.0,87.3
Kyung Ho Kang,Mr. Perfect,Orthodox,15,62.12,77.69,63.49,84.23,75.15,25.53,58.14,57.84,19,11,0,19,11,0,14,0,Unranked,Unranked,"['bantamweight', 'catch weight']",bantamweight,1987/09/09,32.95,42.73,64.52,33.33,53.07,77.0,29.18,29.38,50.0,68.51,68.01,49.01,,71.27,100.0,68.26
John Lineker,Hands of Stone,Orthodox,16,61.74,93.9,32.1,64.8,77.34,49.78,63.95,8.8,31,9,0,31,9,0,16,0,Unranked,2.0,"['bantamweight', 'flyweight']",bantamweight,1990/06/12,56.42,52.31,53.22,100.0,57.15,69.19,8.29,7.67,57.99,12.9,67.01,32.66,,17.8,79.86,72.91
Cody Garbrandt,No Love,Orthodox,17,61.23,85.1,23.04,54.97,64.35,76.08,76.74,6.6,14,7,0,14,7,0,16,1,5.0,0.0,"['bantamweight', 'catch weight', 'flyweight']",bantamweight,1991/07/07,30.31,41.14,51.61,91.67,63.27,74.37,13.76,23.0,27.01,10.81,83.01,0.0,,0.0,79.86,36.8
John Dodson,The Magician,Orthodox,18,60.58,86.15,23.73,57.76,77.15,60.97,72.09,8.35,22,12,0,22,12,0,17,1,Unranked,1.0,"['bantamweight', 'flyweight', 'ultimate fighter 14 bantamweight tournament']",bantamweight,1984/09/26,33.69,38.36,53.22,91.67,67.35,74.87,10.51,24.27,27.99,13.43,81.99,0.0,,0.0,100.0,63.4
Raoni Barcelos,,Orthodox,19,60.27,85.37,52.24,71.55,77.89,28.61,54.27,43.41,20,5,0,20,5,0,13,0,Unranked,15.0,"['bantamweight', 'featherweight']",bantamweight,1987/05/01,51.27,33.4,72.58,41.67,65.31,68.11,34.5,49.82,32.99,47.74,84.99,24.49,,35.62,100.0,66.67
Rinya Nakamura,Hybred,Southpaw,20,59.52,73.02,57.23,65.34,87.99,28.19,46.51,83.57,9,1,0,9,1,0,4,1,Unranked,Unranked,"['bantamweight', 'road to  1 bantamweight tournament']",bantamweight,1995/03/23,32.63,1.57,70.98,16.67,73.47,90.37,38.96,5.12,80.98,28.29,100.0,32.66,,0.0,100.0,77.78
Song Yadong,Kung Fu Kid,Orthodox,21,58.8,84.51,33.83,63.68,76.86,44.28,61.31,21.34,22,8,1,22,8,1,15,0,Unranked,5.0,"['bantamweight', 'featherweight']",bantamweight,1997/12/02,48.22,47.57,58.06,58.33,55.11,71.4,9.02,13.42,37.99,31.91,72.99,8.17,,17.8,100.0,71.11
Brett Johns,The Pikey,Orthodox,22,58.52,69.03,71.05,74.36,76.25,15.86,51.16,89.03,17,2,0,17,2,0,7,0,Unranked,13.0,['bantamweight'],bantamweight,1992/02/21,30.1,16.75,67.75,0.0,51.02,72.73,72.88,37.68,49.0,52.72,58.01,40.84,,35.62,100.0,74.6
Rob Font,,Orthodox,23,58.15,87.16,30.93,65.89,71.41,44.38,63.95,12.82,22,8,0,22,8,0,19,0,Unranked,3.0,"['catch weight', 'bantamweight']",bantamweight,1987/06/25,57.79,34.33,62.91,58.33,59.18,74.12,11.7,24.27,34.0,23.49,42.01,49.01,,17.8,79.86,63.16
Mario Bautista,,Switch,24,57.93,80.17,38.21,74.98,76.48,36.36,51.16,30.77,16,2,0,16,2,0,12,0,Unranked,8.0,['bantamweight'],bantamweight,1993/07/01,64.52,41.77,67.75,8.33,55.11,67.7,24.74,24.92,32.99,31.24,67.01,32.66,,53.45,79.86,72.22
Bryan Caraway,Kid Lightning,Orthodox,25,57.48,61.45,49.36,81.74,70.87,33.14,69.77,51.37,21,9,0,21,9,0,10,0,Unranked,3.0,"['bantamweight', 'featherweight']",bantamweight,1984/08/04,26.63,32.83,43.55,0.0,53.07,74.62,38.08,56.83,25.0,43.47,80.01,24.49,,71.27,100.0,56.67
Erik Perez,Goyito,Orthodox,26,57.47,70.38,56.44,60.34,82.81,26.87,53.15,50.31,17,6,0,17,6,0,9,0,Unranked,9.0,['bantamweight'],bantamweight,1989/11/19,33.27,19.28,53.22,25.0,77.55,87.15,46.81,21.72,55.0,38.31,69.0,0.0,,17.8,79.86,71.6
Ronnie Lawrence,The Heat,Switch,27,56.73,77.65,71.61,58.33,77.48,6.37,58.14,55.5,8,2,0,8,2,0,4,0,Unranked,Unranked,['bantamweight'],bantamweight,1992/06/13,29.26,12.92,79.03,25.0,48.98,89.94,100.0,11.5,76.99,18.78,44.99,0.0,,0.0,100.0,77.78
Jonathan Martinez,Dragon,Southpaw,28,56.16,93.21,31.31,58.04,74.09,36.5,51.16,25.8,19,6,0,19,6,0,15,0,Unranked,10.0,"['bantamweight', 'featherweight']",bantamweight,1994/04/20,46.73,76.25,67.75,75.0,57.15,70.66,5.63,8.95,35.0,32.75,68.01,0.0,,0.0,100.0,65.19
Iuri Alcantara,Marajo,Southpaw,29,56.07,73.3,47.84,71.0,67.43,31.44,58.14,21.26,35,10,0,35,10,0,18,0,Unranked,7.0,"['bantamweight', 'featherweight']",bantamweight,1980/08/04,28.63,12.28,61.29,33.33,42.85,81.39,21.33,17.25,61.99,32.37,59.99,40.84,,35.62,79.86,56.79
Kyler Phillips,The Matrix,Orthodox,30,56.03,77.55,46.54,65.36,82.6,23.7,46.51,36.21,12,3,0,12,3,0,8,0,Unranked,10.0,['bantamweight'],bantamweight,1995/06/12,55.59,44.74,59.68,16.67,65.31,75.78,38.96,23.63,51.0,24.5,75.0,16.34,,17.8,100.0,77.78
Michael McDonald,Mayday,Orthodox,31,55.96,73.74,35.34,69.91,64.59,40.11,76.74,9.4,17,4,0,17,4,0,9,0,Unranked,2.0,"['bantamweight', 'interim bantamweight']",bantamweight,1991/01/15,28.31,16.7,56.45,41.67,59.18,81.63,16.14,5.75,66.0,8.21,52.01,40.84,,35.62,59.72,44.44
Raphael Assuncao,,Orthodox,32,55.44,69.1,44.04,59.22,72.21,44.38,40.7,20.73,28,10,0,28,10,0,19,0,Unranked,2.0,"['bantamweight', 'featherweight']",bantamweight,1982/07/19,33.89,10.07,56.45,16.67,77.55,83.77,24.44,39.6,39.0,34.49,78.0,16.34,,17.8,59.72,46.79
Farid Basharat,Ferocious,Orthodox,33,55.3,74.84,49.44,65.64,93.29,12.61,40.7,70.05,13,0,0,13,0,0,4,0,Unranked,Unranked,"['featherweight', 'bantamweight']",bantamweight,1997/08/02,45.9,6.04,77.42,0.0,63.27,83.19,58.82,21.72,44.0,23.71,80.01,16.34,,17.8,100.0,100.0
Jack Shore,Tank,Orthodox,34,55.0,78.31,51.55,71.62,66.58,19.07,58.14,48.26,17,3,0,17,3,0,9,0,Unranked,14.0,"['featherweight', 'bantamweight']",bantamweight,1995/02/06,37.89,6.36,82.26,16.67,57.15,85.33,47.7,33.85,39.0,36.75,74.01,32.66,,53.45,59.72,44.44
Pedro Munhoz,The Young Punisher,Orthodox,35,54.78,88.22,20.06,78.58,70.92,31.58,65.12,8.13,20,10,0,20,10,0,22,0,Unranked,4.0,['bantamweight'],bantamweight,1986/09/07,56.63,85.76,54.83,58.33,55.11,52.54,7.1,31.93,16.0,15.59,81.99,49.01,,53.45,100.0,59.6
Brady Hiestand,Bam Bam,Orthodox,36,54.58,68.56,57.87,69.0,75.35,9.49,69.77,91.97,9,2,0,9,2,0,4,0,Unranked,Unranked,['bantamweight'],bantamweight,1999/04/30,28.43,8.45,69.36,0.0,46.95,73.47,71.11,24.92,46.0,31.12,42.01,32.66,,17.8,100.0,77.78
Tony Gravely,,Orthodox,37,52.99,78.34,68.33,55.82,53.99,12.8,58.14,64.99,23,9,0,23,9,0,8,0,Unranked,Unranked,['bantamweight'],bantamweight,1991/09/28,40.21,24.07,66.13,33.33,32.65,67.53,79.98,51.73,41.0,43.99,52.01,0.0,,0.0,79.86,36.11
Takeya Mizugaki,,Orthodox,38,52.98,68.46,54.4,56.08,63.8,34.88,31.98,42.4,21,11,2,21,11,2,14,0,Unranked,5.0,['bantamweight'],bantamweight,1983/12/16,35.48,9.33,48.39,25.0,59.18,77.43,21.63,20.43,56.99,50.22,70.02,8.17,,0.0,79.86,39.68
Manny Bermudez,The Bermudez Triangle,Orthodox,39,52.19,76.5,42.77,78.18,56.89,9.54,93.02,33.87,14,2,0,14,2,0,5,0,Unranked,Unranked,"['catch weight', 'featherweight', 'bantamweight']",bantamweight,1994/07/16,30.73,5.11,87.1,8.33,36.75,82.29,45.32,7.03,54.0,14.32,0.0,0.0,,53.45,79.86,48.89
Marcus McGhee,The Maniac,Orthodox,40,52.13,81.19,16.55,63.98,97.2,12.61,75.58,8.22,10,1,0,10,1,0,4,0,Unranked,12.0,"['bantamweight', 'catch weight']",bantamweight,1990/05/07,63.79,18.2,66.13,25.0,73.47,81.05,6.8,1.92,32.99,2.79,100.0,0.0,,17.8,100.0,100.0
Davey Grant,Dangerous,Orthodox,41,52.07,80.98,35.44,54.77,62.24,29.39,70.1,23.93,16,7,0,16,7,0,13,0,Unranked,Unranked,"['bantamweight', 'ultimate fighter 18 bantamweight tournament']",bantamweight,1985/12/18,55.27,44.11,59.68,33.33,55.11,72.32,16.89,19.17,40.0,26.32,61.01,0.0,,17.8,39.57,41.02
Da'Mon Blackshear,The Monster,Switch,42,51.73,70.84,33.81,80.86,66.59,15.95,79.07,29.93,17,7,1,17,7,1,9,0,Unranked,Unranked,['bantamweight'],bantamweight,1994/08/12,49.48,7.17,62.91,0.0,48.98,70.16,23.1,15.97,36.0,22.79,71.01,40.84,,53.45,100.0,51.86
Chris Gutierrez,El Guapo,Orthodox,43,51.66,90.5,16.29,56.08,80.07,31.78,44.19,7.8,22,6,2,22,6,2,14,0,Unranked,12.0,"['featherweight', 'bantamweight', 'catch weight']",bantamweight,1991/04/22,48.31,43.03,82.26,50.0,71.44,82.54,3.55,7.67,25.0,9.68,70.02,8.17,,0.0,79.86,69.04
Said Nurmagomedov,,Orthodox,44,51.61,71.66,18.64,80.57,78.48,22.24,73.09,11.85,18,4,0,18,4,0,10,0,Unranked,12.0,"['bantamweight', 'flyweight']",bantamweight,1992/04/05,35.57,26.4,64.52,8.33,57.15,85.82,14.95,24.92,15.0,10.02,62.0,49.01,,53.45,100.0,73.33
SuYoung You,Yoo-Jitsu,Orthodox,45,51.2,63.23,51.63,60.0,98.04,6.28,23.26,87.42,15,3,0,15,3,0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1995/12/11,19.79,5.48,59.68,0.0,87.76,93.49,70.36,9.58,55.0,14.79,66.0,8.17,,0.0,100.0,100.0
Alejandro Perez,Turbo,Orthodox,46,51.18,65.75,17.74,63.12,71.98,44.19,65.12,9.38,23,9,1,23,9,1,13,1,Unranked,12.0,"['featherweight', 'bantamweight', 'ultimate fighter latin america bantamweight tournament']",bantamweight,1989/09/02,36.31,31.63,45.17,8.33,67.35,78.17,7.99,14.05,22.01,10.32,70.02,24.49,,17.8,79.86,53.84
Cody Stamann,The Spartan,Orthodox,47,50.94,76.95,49.29,49.4,64.03,27.15,33.22,32.25,21,8,1,21,8,1,15,0,Unranked,9.0,"['bantamweight', 'catch weight', 'featherweight']",bantamweight,1989/11/09,45.47,51.03,62.91,16.67,65.31,72.14,32.14,44.7,36.99,40.94,75.99,0.0,,0.0,39.57,37.03
Jose Quinonez,Teco,Southpaw,48,50.62,74.47,46.28,63.13,62.04,22.96,37.21,35.4,9,5,0,9,5,0,9,0,Unranked,Unranked,"['bantamweight', 'ultimate fighter latin america bantamweight tournament']",bantamweight,1990/07/28,37.89,24.39,61.29,25.0,73.47,79.65,39.99,23.0,46.99,26.95,42.01,16.34,,17.8,79.86,34.57
Vinicius Oliveira,LokDog,Switch,49,50.59,73.09,37.88,58.61,89.74,9.44,46.51,41.79,22,3,0,22,3,0,3,0,Unranked,12.0,['bantamweight'],bantamweight,1995/11/30,51.78,20.85,59.68,8.33,48.98,81.55,27.99,6.4,60.0,10.61,75.99,0.0,,0.0,100.0,100.0
Brian Kelleher,Boom,Switch,50,50.57,74.05,45.01,63.63,52.15,22.74,66.86,27.82,24,16,0,24,16,0,17,0,Unranked,15.0,"['bantamweight', 'featherweight']",bantamweight,1986/08/19,34.84,55.2,54.83,25.0,53.07,66.54,24.88,23.0,41.0,40.01,59.99,32.66,,53.45,0.0,20.91
Nathan Fletcher,,Orthodox,51,50.05,75.07,36.35,64.54,71.88,3.17,93.02,51.07,9,2,0,9,2,0,2,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1998/01/03,36.21,1.25,85.49,0.0,67.35,90.37,52.28,8.3,37.99,8.64,50.0,0.0,,17.8,100.0,55.56
Daniel Marcos,Soncora,Orthodox,52,50.03,81.32,29.94,57.76,86.94,12.7,40.7,27.22,17,1,0,17,1,0,6,0,Unranked,Unranked,['bantamweight'],bantamweight,1993/03/07,53.8,35.78,74.19,16.67,67.35,72.39,14.65,8.3,46.0,13.83,84.0,0.0,,0.0,100.0,85.19
Eddie Wineland,,Orthodox,53,50.0,76.06,18.18,58.04,60.95,34.59,88.37,4.0,24,16,1,24,16,1,16,0,Unranked,4.0,"['bantamweight', 'interim bantamweight']",bantamweight,1984/06/26,35.8,47.64,35.48,66.67,81.64,73.38,5.02,8.3,32.99,5.65,86.01,0.0,,0.0,100.0,20.13
Jimmie Rivera,El Terror,Orthodox,54,49.99,74.36,22.4,58.88,76.19,36.31,33.22,11.52,23,5,0,23,5,0,11,0,Unranked,3.0,"['featherweight', 'bantamweight']",bantamweight,1989/06/29,42.41,45.04,53.22,25.0,65.31,72.23,13.03,18.52,27.01,11.38,92.01,8.17,,0.0,100.0,60.61
Brad Katona,Superman,Orthodox,55,49.91,74.31,43.97,57.76,59.9,31.54,23.26,52.91,16,5,0,16,5,0,9,1,Unranked,Unranked,"['bantamweight', 'ultimate fighter 27 featherweight tournament']",bantamweight,1991/12/19,50.63,7.0,72.58,0.0,44.91,65.23,27.54,28.1,34.0,40.28,61.01,0.0,,0.0,100.0,41.98
Guangyou Ning,Smasher,Southpaw,56,49.28,63.48,31.52,59.44,72.89,25.07,65.12,40.89,5,4,1,5,4,1,4,1,Unranked,Unranked,"['bantamweight', 'ultimate fighter china featherweight tournament', 'featherweight']",bantamweight,1981/12/15,27.99,6.73,54.83,0.0,67.35,88.63,16.14,5.12,50.0,13.85,62.0,8.17,,0.0,100.0,55.56
Marlon Moraes,Magic,Orthodox,57,49.08,75.02,24.34,63.41,48.72,37.08,72.09,6.13,23,10,1,23,10,1,11,0,Unranked,1.0,['bantamweight'],bantamweight,1988/04/26,35.48,27.21,53.22,41.67,53.07,67.04,12.87,7.67,41.0,7.09,46.01,0.0,,17.8,100.0,16.17
Mitch Gagnon,,Southpaw,58,48.85,72.07,26.25,80.3,64.2,12.8,75.58,29.39,12,5,0,12,5,0,8,0,Unranked,13.0,['bantamweight'],bantamweight,1984/10/10,29.05,11.08,62.91,25.0,67.35,86.16,17.17,15.33,25.0,19.89,65.01,81.67,,53.45,59.72,36.11
Daniel Santos,Willycat,Orthodox,59,48.67,70.68,41.6,57.76,77.45,9.49,46.51,63.9,13,2,0,13,2,0,4,0,Unranked,Unranked,"['featherweight', 'bantamweight', 'catch weight']",bantamweight,1995/03/12,49.9,22.87,53.22,8.33,46.95,63.5,44.87,17.88,39.0,21.62,72.99,0.0,,0.0,100.0,77.78
John Castaneda,Sexi Mexi,Switch,60,48.62,80.91,34.06,62.85,63.95,12.8,58.14,30.48,21,8,0,21,8,0,8,0,Unranked,Unranked,"['bantamweight', 'catch weight', 'featherweight']",bantamweight,1991/12/18,46.52,25.89,69.36,33.33,51.02,63.66,24.88,17.88,36.99,20.63,72.99,0.0,,17.8,100.0,45.83
Johnny Befightsord,Brutal,Orthodox,61,48.42,78.83,42.62,52.18,56.34,6.46,93.02,40.41,21,13,1,21,13,1,6,0,Unranked,Unranked,['bantamweight'],bantamweight,1983/01/06,47.69,18.71,69.36,25.0,71.44,89.94,27.1,5.12,61.99,20.51,62.0,0.0,,0.0,59.72,16.67
Victor Henry,La Mangosta,Switch,62,48.37,88.78,30.02,57.49,70.33,12.75,40.7,28.33,25,7,0,25,7,0,7,0,Unranked,Unranked,['bantamweight'],bantamweight,1987/05/04,75.48,48.7,74.19,25.0,40.82,61.61,15.4,8.95,41.99,16.78,81.0,16.34,,0.0,79.86,63.49
Brad Pickett,One Punch,Orthodox,63,48.33,64.69,50.56,56.99,49.74,25.53,51.16,32.31,25,14,0,25,14,0,14,0,Unranked,5.0,"['catch weight', 'bantamweight', 'flyweight']",bantamweight,1978/09/24,31.78,12.72,38.71,25.0,55.11,66.22,36.58,33.22,44.0,38.26,58.01,16.34,,17.8,39.57,15.08
Scott Jorgensen,Young Guns,Orthodox,64,48.22,68.64,50.13,57.85,51.99,17.66,58.14,32.58,15,12,0,15,12,0,12,0,Unranked,7.0,"['bantamweight', 'flyweight']",bantamweight,1982/09/17,35.48,36.47,53.22,8.33,75.51,76.28,38.66,33.22,45.0,34.92,59.0,16.34,,17.8,39.57,8.33
Douglas Silva de Andrade,D Silva,Orthodox,65,48.07,76.61,25.23,62.0,66.83,22.38,53.15,10.18,29,6,0,29,6,0,13,0,Unranked,14.0,"['bantamweight', 'featherweight', 'catch weight']",bantamweight,1985/06/22,37.27,33.84,49.99,50.0,59.18,71.98,8.13,8.95,41.99,11.19,72.0,16.34,,17.8,79.86,47.01
Taylor Lapilus,Double Impact,Southpaw,66,48.04,76.38,21.69,59.44,84.26,19.03,34.88,23.21,21,4,0,21,4,0,8,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1992/04/08,48.31,22.11,66.13,16.67,69.38,82.86,4.0,3.83,32.99,15.71,77.01,8.17,,0.0,100.0,77.78
Francisco Rivera,Cisco,Orthodox,67,47.59,78.21,32.59,51.09,64.23,12.94,75.58,5.48,11,7,0,11,7,0,11,0,Unranked,Unranked,['bantamweight'],bantamweight,1981/10/08,42.85,40.96,54.83,41.67,81.64,78.33,14.95,7.03,62.99,5.11,68.01,0.0,,0.0,39.57,30.3
Cody Gibson,The Renegade,Orthodox,68,47.39,74.37,41.27,59.51,56.46,9.72,69.77,39.7,22,11,0,22,11,0,9,0,Unranked,Unranked,['bantamweight'],bantamweight,1987/09/11,38.0,45.49,61.29,16.67,59.18,78.17,31.54,23.63,36.99,30.23,69.0,8.17,,17.8,59.72,23.46
Aiemann Zahabi,,Orthodox,69,47.36,75.94,9.65,57.76,84.01,26.87,43.19,8.54,13,2,0,13,2,0,9,0,Unranked,10.0,"['bantamweight', 'featherweight']",bantamweight,1987/11/19,46.52,12.53,62.91,25.0,83.67,70.34,2.06,4.48,14.0,6.51,83.01,0.0,,0.0,100.0,71.6
Miles Johns,Chapo,Orthodox,70,47.25,71.01,26.65,54.97,77.78,19.12,46.51,28.83,15,3,0,15,3,0,10,0,Unranked,Unranked,"['featherweight', 'bantamweight']",bantamweight,1994/03/30,33.27,22.42,59.68,16.67,79.6,82.54,13.62,25.55,20.0,24.38,81.0,0.0,,0.0,79.86,57.78
Casey Kenney,,Southpaw,71,46.98,72.4,27.95,63.7,74.54,15.91,37.21,24.65,16,4,1,16,4,1,8,0,Unranked,14.0,"['bantamweight', 'catch weight']",bantamweight,1991/03/20,51.05,50.59,56.45,0.0,61.22,65.89,16.14,12.13,35.0,16.69,61.01,0.0,,17.8,100.0,66.67
George Roop,,Orthodox,72,46.68,67.95,47.1,56.08,53.67,16.14,51.16,37.71,15,13,1,15,13,1,13,0,Unranked,Unranked,"['bantamweight', 'lightweight', 'featherweight']",bantamweight,1981/11/10,36.1,44.67,43.55,16.67,65.31,84.02,15.54,10.22,56.99,41.48,59.0,8.17,,0.0,79.86,15.39
Royston Wee,,Orthodox,73,46.41,69.96,59.73,57.76,56.36,6.32,23.26,100.0,4,1,0,4,1,0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1986/11/15,11.57,3.83,85.49,0.0,42.85,84.18,50.06,7.03,80.98,25.38,0.0,0.0,,0.0,100.0,44.44
Leandro Issa,Brodinho,Orthodox,73,46.41,60.74,36.23,69.64,58.52,6.42,93.02,65.57,13,6,0,13,6,0,5,0,Unranked,Unranked,['bantamweight'],bantamweight,1983/09/19,21.89,16.06,48.39,0.0,61.22,78.24,35.25,28.73,22.01,27.74,50.0,16.34,,35.62,79.86,31.11
Alatengheili,The Mongolian Knight,Orthodox,75,46.23,63.89,36.76,57.76,72.35,15.95,37.21,26.23,17,10,2,17,10,2,9,0,Unranked,Unranked,['bantamweight'],bantamweight,1991/12/14,29.69,46.81,40.32,8.33,59.18,62.17,25.77,20.43,42.99,19.98,75.0,0.0,,0.0,100.0,60.49
Damian Stasiak,Webster,Orthodox,76,45.8,59.39,38.21,69.9,53.8,6.46,93.02,38.92,10,6,0,10,6,0,6,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1990/02/20,19.57,12.16,46.78,0.0,48.98,78.82,39.1,23.63,35.0,19.76,43.01,8.17,,35.62,100.0,27.78
Javid Basharat,The Snow Leopard,Orthodox,77,45.41,78.38,29.46,58.33,74.99,9.58,23.26,20.78,14,2,0,14,2,0,6,0,Unranked,Unranked,['bantamweight'],bantamweight,1995/09/07,56.95,34.9,74.19,0.0,67.35,79.97,23.99,10.87,40.0,10.56,83.01,0.0,,0.0,100.0,57.41
Ivan Menjivar,The Pride of El Salvador,Orthodox,78,45.37,65.16,16.37,69.91,65.59,17.52,75.58,6.44,25,12,0,25,12,0,9,0,Unranked,9.0,"['bantamweight', 'featherweight', 'lightweight']",bantamweight,1982/05/30,29.26,6.8,48.39,16.67,75.51,81.63,8.29,4.48,27.99,4.9,38.0,24.49,,35.62,79.86,41.98
Diego Rivas,Pitbull,Orthodox,79,45.33,61.69,38.11,61.15,69.02,6.37,58.14,35.83,10,2,0,10,2,0,4,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1991/11/11,14.42,5.35,53.22,8.33,48.98,86.74,26.51,6.4,60.0,12.13,64.01,8.17,,0.0,100.0,55.56
Matthew Lopez,,Southpaw,80,45.32,70.75,50.15,60.32,45.67,6.46,58.14,39.42,10,4,0,10,4,0,6,0,Unranked,13.0,['bantamweight'],bantamweight,1987/01/21,32.95,23.94,69.36,0.0,55.11,73.63,49.17,15.97,60.0,20.01,71.01,16.34,,0.0,79.86,1.86
Timur Valiev,Lucky,Orthodox,81,45.3,78.61,32.41,58.61,74.29,6.37,23.26,48.6,18,3,0,18,3,0,4,0,Unranked,Unranked,"['featherweight', 'catch weight', 'bantamweight']",bantamweight,1990/01/19,54.63,21.42,74.19,8.33,34.69,76.93,25.63,9.58,40.0,16.45,55.01,0.0,,0.0,100.0,77.78
